time,processors,arr_len,epochs,rule
81.9997371250065,1,2882880,100,110
48.50856812496204,2,2882880,100,110
35.35142029100098,3,2882880,100,110
26.82013587502297,4,2882880,100,110
21.97764808300417,5,2882880,100,110
19.74750649998896,6,2882880,100,110
18.497323624964338,7,2882880,100,110
18.82514412503224,8,2882880,100,110
20.549696250003763,9,2882880,100,110
20.188450834015384,10,2882880,100,110
19.816129208018538,11,2882880,100,110
19.974591375037562,12,2882880,100,110
21.360048667003866,13,2882880,100,110
20.89884629199514,14,2882880,100,110
21.18988395796623,15,2882880,100,110
22.37536700000055,16,2882880,100,110
